,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,total acidity,sulphates_squared,citric_acid_ratio,sugar_acid_diff,Quality
23,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,8.99,0.28090000000000004,0.012941176470588235,-6.2,5
24,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,7.300000000000001,0.39690000000000003,0.02028985507246377,-4.5,6
25,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,6.6899999999999995,0.31360000000000005,0.025396825396825397,-4.9,5
26,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,8.01,0.34809999999999997,0.031578947368421054,-5.8,5
27,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,8.33,0.8281000000000001,0.026582278481012658,-6.300000000000001,5
28,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,7.81,0.30250000000000005,0.0,-5.199999999999999,5
29,7.8,0.645,0.0,2.0,0.0819999999999999,8.0,16.0,0.9964,3.38,0.59,9.8,8.445,0.34809999999999997,0.0,-5.8,6
30,6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,7.375,0.2916,0.010447761194029851,-4.300000000000001,5
31,6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,7.585000000000001,0.32489999999999997,0.0,-4.4,6
32,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,8.955,0.43560000000000004,0.014457831325301203,-6.000000000000001,5
34,5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5.5200000000000005,0.30250000000000005,0.04807692307692307,-3.4000000000000004,5
35,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,8.445,0.30250000000000005,0.0,-2.3,6
36,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,8.4,0.36,0.01794871794871795,-5.4,6
37,8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,8.48,0.5328999999999999,0.034567901234567905,-6.0,7
39,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,7.75,0.6889,0.049315068493150684,-1.3999999999999995,5
40,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,7.75,0.6889,0.049315068493150684,-1.3999999999999995,5
41,8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,9.41,0.2601,0.03409090909090909,-6.000000000000001,4
44,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,7.47,0.27040000000000003,0.0029411764705882353,-5.0,5
46,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,8.635,0.5328999999999999,0.05584415584415584,-5.5,5
47,8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,8.989999999999998,0.3364,0.05977011494252874,-7.1,5
48,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,6.800000000000001,0.31360000000000005,0.0359375,-4.800000000000001,5
49,5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5.909999999999999,0.3364,0.06607142857142857,-4.199999999999999,5
50,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,9.46,0.5476,0.029545454545454545,-7.1000000000000005,5
51,6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,7.119999999999999,0.39690000000000003,0.0060606060606060615,-4.3999999999999995,6
52,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,7.1,0.4096,0.0060606060606060615,-4.5,6
53,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,8.98,0.31360000000000005,0.04186046511627907,-5.6,5
54,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,8.11,0.39690000000000003,0.019736842105263157,-4.8,6
55,7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,8.32,0.28090000000000004,0.005194805194805195,-3.9000000000000004,5
56,10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,10.62,0.39690000000000003,0.055882352941176466,-6.799999999999999,5
58,7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,8.39,0.34809999999999997,0.023076923076923078,-5.5,5
59,7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,7.6899999999999995,0.2916,0.04246575342465753,-4.9,6
60,8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,9.200000000000001,0.4096,0.045454545454545456,-6.6000000000000005,5
61,7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,8.39,0.5041,0.06363636363636363,-5.9,5
62,7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,8.02,0.3844,0.021333333333333333,-5.6,7
63,7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,7.735,0.32489999999999997,0.0071428571428571435,-5.0,5
64,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,7.925,0.1521,0.006944444444444445,-2.55,5
65,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,7.925,0.1521,0.006944444444444445,-2.55,5
66,7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,8.02,0.3364,0.014666666666666666,-6.0,5
67,6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,7.305,0.3364,0.010606060606060608,-5.0,5
68,9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,9.620000000000001,0.6241000000000001,0.06129032258064515,-7.300000000000001,5
69,8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,8.705,0.9025,0.00625,-6.1,6
70,7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,8.33,0.2916,0.01038961038961039,-5.800000000000001,6
71,7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,8.370000000000001,0.2304,0.02987012987012987,-5.6,5
72,7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,8.39,0.2304,0.02857142857142857,-5.800000000000001,5
73,8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,8.975000000000001,0.28090000000000004,0.03132530120481927,-6.200000000000001,4
74,9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,10.02,0.6723999999999999,0.055670103092783516,-7.199999999999999,5
75,8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,9.21,0.43560000000000004,0.07272727272727272,-6.6000000000000005,5
76,8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,9.21,0.43560000000000004,0.07272727272727272,-6.6000000000000005,5
77,6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,7.585,0.30250000000000005,0.0,-4.4,6
78,6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,7.45,0.27040000000000003,0.017910447761194027,-4.7,5
79,8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,8.925,1.2544000000000002,0.024096385542168672,-6.800000000000001,4
80,6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,6.65,0.31360000000000005,0.03225806451612903,-4.6,5
82,7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,7.9,0.32489999999999997,0.0635135135135135,-5.4,5
84,6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6.6,0.6084,0.07619047619047618,-4.5,6
85,6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,7.45,0.34809999999999997,0.021739130434782608,-4.7,5
87,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,8.19,0.4096,0.033766233766233764,-5.800000000000001,5
89,7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,7.62,0.28090000000000004,0.011428571428571429,-5.2,5
90,7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,8.42,0.2916,0.03291139240506329,-6.0,5
93,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,8.19,0.4096,0.033766233766233764,-5.800000000000001,5
94,5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,6.02,0.2304,0.008,-3.6,4
96,6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,7.575,0.31360000000000005,0.0,-3.8,5
97,7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,7.5,0.39690000000000003,0.03571428571428571,-5.0,5
98,7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,8.5,0.31360000000000005,0.007894736842105263,-5.1,5
99,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,8.645,0.34809999999999997,0.022222222222222223,-6.199999999999999,6
100,8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,8.91,0.3721,0.03614457831325301,-6.200000000000001,6
101,7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,8.3,0.31360000000000005,0.038461538461538464,-5.9,6
102,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,8.645,0.34809999999999997,0.022222222222222223,-6.199999999999999,6
103,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,8.674999999999999,0.2601,0.027160493827160494,-6.0,5
104,7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,7.69,0.2304,0.03333333333333333,-5.0,5
105,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,8.674999999999999,0.2601,0.027160493827160494,-6.0,5
107,6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,6.83,0.6241000000000001,0.049999999999999996,-4.5,5
108,8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,8.33,0.6400000000000001,0.06625,-5.5,6
110,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,8.36,0.8649000000000001,0.02435897435897436,-6.0,5
111,8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,9.02,0.43560000000000004,0.010714285714285713,-6.2,5
112,8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,9.0,0.43560000000000004,0.011904761904761904,-6.2,5
113,10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,10.41,0.4489000000000001,0.04356435643564357,-7.8,6
114,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,8.36,0.8649000000000001,0.02435897435897436,-6.0,5
115,9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,9.8,0.39690000000000003,0.03297872340425532,-7.2,6
116,8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,8.84,0.3721,0.033734939759036145,-6.4,6
117,7.8,0.56,0.12,2.0,0.0819999999999999,7.0,28.0,0.997,3.37,0.5,9.4,8.36,0.25,0.015384615384615384,-5.8,6
118,8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,9.350000000000001,0.36,0.004545454545454545,-6.6000000000000005,6
119,7.0,0.69,0.08,1.8,0.0969999999999999,22.0,89.0,0.9959,3.34,0.54,9.2,7.6899999999999995,0.2916,0.011428571428571429,-5.2,6
121,8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,9.350000000000001,0.36,0.004545454545454545,-6.6000000000000005,6
122,7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,7.995,0.27040000000000003,0.0,-4.8,5
123,8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,8.71,0.28090000000000004,0.0,-5.4,5
124,7.8,0.5,0.17,1.6,0.0819999999999999,21.0,102.0,0.996,3.39,0.48,9.5,8.3,0.2304,0.021794871794871797,-6.199999999999999,5
125,9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,9.62,0.48999999999999994,0.0044444444444444444,-7.1,5
128,8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,8.59,0.8464,0.02,-6.2,7
129,6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,6.4799999999999995,0.32489999999999997,0.02459016393442623,-4.3,5
130,8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,8.745,0.43560000000000004,0.07,-6.0,5
131,5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,6.1,0.39690000000000003,0.016071428571428573,-3.3,5
132,5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,6.1,0.39690000000000003,0.016071428571428573,-3.3,5
133,6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,7.1,0.3364,0.0015151515151515154,-5.1,6
134,7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,8.940000000000001,0.30250000000000005,0.006329113924050633,-5.7,6
135,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,9.145,0.6723999999999999,0.013095238095238096,-6.5,5
136,8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,9.015,0.5929,0.018072289156626505,-6.500000000000001,5
137,7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,7.615,0.4096,0.049999999999999996,-5.2,5
138,7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,8.36,0.2916,0.02435897435897436,-5.699999999999999,5
139,7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,8.36,0.2916,0.02435897435897436,-5.8,5
140,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,9.145,0.6723999999999999,0.013095238095238096,-6.5,5
141,8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,9.015,0.5929,0.018072289156626505,-6.500000000000001,5
143,6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,6.6899999999999995,0.3364,0.012698412698412698,-4.6,5
145,8.1,0.67,0.55,1.8,0.1169999999999999,32.0,141.0,0.9968,3.17,0.62,9.4,8.77,0.3844,0.06790123456790124,-6.3,5
146,5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,6.4799999999999995,0.27040000000000003,0.003448275862068966,-4.0,5
148,6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,7.390000000000001,0.3364,0.014492753623188406,-4.6000000000000005,6
149,8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,8.6,0.3721,0.05365853658536586,-5.3999999999999995,6
150,7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,7.63,0.28090000000000004,0.06438356164383562,-5.199999999999999,6
152,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,8.1,0.2916,0.004,-5.7,5
153,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,8.1,0.2916,0.004,-5.7,5
154,7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,7.529999999999999,0.5184,0.059154929577464786,-1.5999999999999996,5
155,7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,7.529999999999999,0.5041,0.059154929577464786,-1.5999999999999996,5
156,7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,7.529999999999999,0.5184,0.059154929577464786,-1.5999999999999996,5
157,7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,7.529999999999999,0.5041,0.059154929577464786,-1.5999999999999996,5
158,7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,7.779999999999999,0.25,0.0,-4.8999999999999995,5
159,6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,7.3999999999999995,0.32489999999999997,0.026470588235294117,-4.9,6
160,7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,8.549999999999999,0.31360000000000005,0.003947368421052632,-5.6,5
161,7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,8.28,1.1664,0.0026315789473684214,-6.3,4
162,7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,8.33,0.31360000000000005,0.005128205128205128,-6.1,6
165,7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,8.43,0.3844,0.061538461538461535,-6.1,5
166,6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,7.4399999999999995,0.27040000000000003,0.014705882352941178,-4.699999999999999,5
167,7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,7.85,0.2304,0.00410958904109589,-5.699999999999999,4
168,6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,7.43,0.30250000000000005,0.010294117647058825,-4.699999999999999,6
170,7.9,0.885,0.03,1.8,0.0579999999999999,4.0,8.0,0.9972,3.36,0.33,9.1,8.785,0.10890000000000001,0.0037974683544303796,-6.1000000000000005,4
171,8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,8.42,0.3721,0.02125,-6.0,6
172,8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,8.42,0.3721,0.02125,-6.0,6
173,7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,8.02,0.32489999999999997,0.006756756756756757,-5.5,6
174,7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,7.68,0.22089999999999999,0.028767123287671233,-5.3,5
175,6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,7.4,0.6084,0.005797101449275362,-5.4,5
176,7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,7.68,0.22089999999999999,0.028767123287671233,-5.3,5
177,7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,8.02,0.3721,0.056,-5.2,6
178,7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,7.805,0.31360000000000005,0.0,-4.5,5
179,8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,9.41,0.34809999999999997,0.01590909090909091,-6.4,5
180,8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,9.41,0.34809999999999997,0.01590909090909091,-6.4,5
182,7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,7.93,0.27040000000000003,0.002777777777777778,-4.7,5
183,6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,7.41,0.3364,0.029411764705882356,-5.0,5
184,6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,7.32,0.3364,0.03134328358208955,-4.800000000000001,6
185,8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,9.21,0.28090000000000004,0.06404494382022471,-6.9,5
186,7.4,0.39,0.48,2.0,0.0819999999999999,14.0,67.0,0.9972,3.34,0.55,9.2,7.79,0.30250000000000005,0.06486486486486485,-5.4,5
187,7.7,0.705,0.1,2.6,0.084,9.0,26.0,0.9976,3.39,0.49,9.7,8.405,0.24009999999999998,0.012987012987012988,-5.1,5
188,7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,8.4,0.30250000000000005,0.04177215189873418,-5.9,5
189,7.9,0.49,0.32,1.9,0.0819999999999999,17.0,144.0,0.9968,3.2,0.55,9.5,8.39,0.30250000000000005,0.04050632911392405,-6.0,5
190,8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,8.7,0.3844,0.042682926829268296,-5.299999999999999,5
191,6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,6.7700000000000005,0.3844,0.0390625,-4.5,6
192,6.8,0.63,0.12,3.8,0.099,16.0,126.0,0.9969,3.28,0.61,9.5,7.43,0.3721,0.01764705882352941,-3.0,5
193,7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,8.15,0.30250000000000005,0.02763157894736842,-5.3999999999999995,5
194,7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,8.15,0.30250000000000005,0.02763157894736842,-5.3999999999999995,5
195,7.8,0.59,0.33,2.0,0.074,24.0,120.0,0.9968,3.25,0.54,9.4,8.39,0.2916,0.04230769230769231,-5.8,5
196,7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,10.2,7.88,0.34809999999999997,0.0410958904109589,-4.9,5
197,11.5,0.3,0.6,2.0,0.067,12.0,27.0,0.9981,3.11,0.97,10.1,11.8,0.9409,0.05217391304347826,-9.5,6
198,5.4,0.835,0.08,1.2,0.046,13.0,93.0,0.9924,3.57,0.85,13.0,6.235,0.7224999999999999,0.014814814814814814,-4.2,7
200,9.6,0.32,0.47,1.4,0.0559999999999999,9.0,24.0,0.99695,3.22,0.82,10.3,9.92,0.6723999999999999,0.04895833333333333,-8.2,7
201,8.8,0.37,0.48,2.1,0.0969999999999999,39.0,145.0,0.9975,3.04,1.03,9.3,9.17,1.0609,0.054545454545454536,-6.700000000000001,5
202,6.8,0.5,0.11,1.5,0.075,16.0,49.0,0.99545,3.36,0.79,9.5,7.3,0.6241000000000001,0.016176470588235296,-5.3,5
203,7.0,0.42,0.35,1.6,0.088,16.0,39.0,0.9961,3.34,0.55,9.2,7.42,0.30250000000000005,0.049999999999999996,-5.4,5
204,7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,7.43,0.31360000000000005,0.05142857142857143,-5.4,6
205,12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,13.100000000000001,0.5929,0.057812499999999996,-10.200000000000001,7
206,12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,13.100000000000001,0.5929,0.057812499999999996,-10.200000000000001,7
207,7.8,0.57,0.31,1.8,0.069,26.0,120.0,0.99625,3.29,0.53,9.3,8.37,0.28090000000000004,0.03974358974358974,-6.0,5
208,7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,9.4,8.24,0.4489000000000001,0.0358974358974359,-5.1,5
209,11.0,0.3,0.58,2.1,0.054,7.0,19.0,0.998,3.31,0.88,10.5,11.3,0.7744,0.05272727272727273,-8.9,7
210,9.7,0.53,0.6,2.0,0.039,5.0,19.0,0.99585,3.3,0.86,12.4,10.229999999999999,0.7395999999999999,0.061855670103092786,-7.699999999999999,6
211,8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,10.0,8.725,0.31360000000000005,0.03,-5.2,6
212,11.6,0.44,0.64,2.1,0.059,5.0,15.0,0.998,3.21,0.67,10.2,12.04,0.4489000000000001,0.055172413793103454,-9.5,6
